0,1,2,3,4,5,6,7,8,9
Palmate newt,John Galliano,"Ware, Hertfordshire",Guildhall Art Gallery,Embankment Pier,High Wycombe Urban Area,Docklands Light Railway,London Overground,London Academy of Excellence,Sex Pistols
Ministry of Defence Police,British Sri Lankans,Hanwell,Wikipedia:Please clarify,Putney Bridge,List of largest cities throughout history,Canary Wharf tube station,,London Borough of Hammersmith and Fulham,The Cure
Timeline of London,,Greenford,Telephone numbering plan,Lambeth Bridge,,London Southend Airport,,London Jewish Forum,
France,,Romford,,,,London Bridge station,,West Norwood,
Leeds,,East Ham,,,,,,Woodford Green,
Sikhs,,"Redhill, Surrey",,,,,,"Victoria Park, London",
Royal National Theatre,,,,,,,,N postcode area,
Middlesex County Cricket Club,,,,,,,,,
National Diet Library,,,,,,,,,
Virginia Woolf,,,,,,,,,
The London Studios,,,,,,,,,
Sherlock Holmes Museum,,,,,,,,,
Anglo-Saxon Chronicle,,,,,,,,,
English country house,,,,,,,,,
Royal Parks of London,,,,,,,,,
Cambridge,,,,,,,,,
Harlow,,,,,,,,,
Royal Philharmonic Orchestra,,,,,,,,,
